time a_x a_y a_z m_x m_y m_z baro
0 3.6338434 -3.2459998 -7.3768100 -27.7220610 -8.0565030 17.3815300 967.2300000
30 2.4269032 -0.7770342 -9.4164690 -27.3467710 -9.3564910 17.7573240 967.2300000
60 2.4718099 -0.2974315 -9.5814260 -26.9714810 -9.9564970 17.1936500 967.2300000
90 2.2923331 -0.3716771 -9.6438460 -27.3467710 -9.4564970 16.9118040 967.2300000
120 2.2582040 -0.2730322 -9.7228810 -26.9714810 -9.7565000 17.5694270 967.2300000
150 2.2471270 -0.2065704 -9.6561200 -27.0653230 -9.3564910 17.9452200 967.2300000
180 2.2001248 -0.2073189 -9.7156215 -27.0653230 -9.2064970 17.8042980 967.2300000
210 2.1531227 -0.2080673 -9.7751230 -27.0653230 -9.0565030 17.6633760 967.2300000
240 2.1041744 0.0387694 -9.7092590 -27.1591340 -8.5565030 17.8512730 967.2342786
270 2.2137465 -0.0833766 -9.6980320 -27.0653230 -9.0565030 18.1331180 967.2385571
300 2.2085073 -0.2371069 -9.6978840 -27.2529600 -8.7565000 18.0391540 967.2428357
330 2.3137386 -0.3379971 -9.7962280 -27.0653230 -8.4564970 17.8512730 967.2471143
360 2.1869520 -0.2713856 -9.8525110 -27.3467710 -8.4564970 17.6633760 967.2513929
390 2.2013971 -0.2014810 -9.8543075 -27.2998655 -8.5065000 17.7573245 967.2556714
420 2.2158422 -0.1315764 -9.8561040 -27.2529600 -8.5565030 17.8512730 967.2599500
450 2.2722747 -0.2203418 -9.9724120 -27.1591340 -8.5565030 17.6633760 967.2549583
480 2.2046156 -0.3891907 -9.8275140 -27.2529600 -8.5565030 17.4754800 967.2499667
510 2.0594175 -0.3968248 -10.0484540 -26.9714810 -8.8564910 17.9452200 967.2449750
540 1.9957997 -0.3909869 -10.0080385 -26.9714810 -8.8564910 17.9452200 967.2399833
570 1.9368224 -0.1887575 -9.7457840 -26.5023800 -9.2565000 17.5694270 967.2349917
600 1.9351759 -0.1373394 -9.8850690 -26.5492935 -9.2565000 17.6633755 967.2300000
630 1.9335293 -0.0859213 -10.0243540 -26.5962070 -9.2565000 17.7573240 967.2342786
660 2.1136048 -0.2194437 -9.5193040 -26.6900180 -8.9564970 17.4754800 967.2385571
690 2.0625608 -0.0484991 -10.0372280 -26.5023800 -9.2565000 17.9452200 967.2428357
720 2.1245320 -0.2104623 -9.8192810 -26.6900180 -9.4564970 17.5694270 967.2471143
750 2.1799169 -0.2053729 -9.6618080 -26.6900180 -9.1564940 17.4754800 967.2513929
780 2.0595672 -0.1763333 -10.0756980 -26.7838440 -9.1564940 17.7573240 967.2556714
810 2.0437749 -0.2293231 -10.0138765 -26.7369310 -9.1564940 17.8512720 967.2599500
840 2.0279827 -0.2823129 -9.9520550 -26.6900180 -9.1564940 17.9452200 967.2556714
870 1.9956500 -0.2005829 -9.9075970 -26.5962070 -9.2565000 17.3815300 967.2513929
900 2.0365150 -0.2484833 -9.8381410 -26.8776550 -8.9564970 17.4754800 967.2471143
930 2.0945942 -0.3248245 -9.6927940 -27.3467710 -8.5565030 17.6633760 967.2428357
960 2.0642076 -0.3397934 -9.8776590 -26.7838440 -8.6564940 17.4754800 967.2385571
990 2.1736300 -0.4632866 -9.8186820 -26.5962070 -9.1564940 17.7573240 967.2342786
1020 2.1406984 -0.4215983 -9.8599210 -26.6900255 -8.8564985 17.6164020 967.2300000
1050 2.1077669 -0.3799100 -9.9011600 -26.7838440 -8.5565030 17.4754800 967.2085657
1080 2.1059706 -0.3115022 -9.8143410 -26.8776550 -8.7565000 17.2875980 967.1871314
1110 2.1116588 -0.3508704 -9.8102990 -26.7838440 -8.5565030 17.4754800 967.1656971
1140 2.0243902 -0.3305127 -9.8956220 -27.4405980 -8.1564940 17.3815300 967.1442629
1170 2.2820046 -0.3635939 -9.9334940 -27.4405980 -8.1564940 17.7573240 967.1228286
1200 2.1251307 -0.4176315 -9.8302080 -27.7220610 -8.1564940 17.7573240 967.1013943
1230 2.0550764 -0.4161346 -9.8036380 -27.6282425 -8.0064925 17.7573240 967.0799600
1260 1.9850221 -0.4146377 -9.7770680 -27.5344240 -7.8564910 17.7573240 967.0849667
1290 2.1935384 -0.4641847 -9.7746730 -26.8776550 -8.1564940 17.8512730 967.0899733
1320 2.1414468 -0.4231700 -9.9433730 -27.5344240 -8.2565000 17.5694270 967.0949800
1350 2.1507275 -0.3451822 -9.8971190 -26.9714810 -8.2565000 17.6633760 967.0999867
1380 2.2835014 -0.4730163 -9.8254175 -27.3467710 -8.5565030 17.6633760 967.1049933
1410 2.2634432 -0.4122427 -9.7754220 -27.4405980 -8.1564940 17.3815300 967.1100000
1440 2.2452561 -0.3766168 -9.7944325 -27.3467790 -8.3564985 17.6164015 967.1271429
1470 2.2270690 -0.3409909 -9.8134430 -27.2529600 -8.5565030 17.8512730 967.1442857
1500 2.3900797 -0.4364923 -9.8722710 -27.3467710 -8.1564940 17.1936500 967.1614286
1530 2.2823038 -0.3897894 -9.8270645 -27.2529600 -8.4564970 17.8512730 967.1785714
1560 2.2161415 -0.4787045 -9.7237800 -27.4405980 -8.4564970 17.3815300 967.1957143
1590 2.2646406 -0.5730084 -9.9026575 -27.3467710 -8.1564940 17.1936500 967.2128571
1620 2.3128405 -0.3347040 -9.7237800 -27.4405980 -8.4564970 17.3815300 967.2300000
1650 2.3383624 -0.4038602 -9.7651685 -27.2529605 -8.6564940 17.5224530 967.2276885
1680 2.3638842 -0.4730163 -9.8065570 -27.0653230 -8.8564910 17.6633760 967.2253769
1710 2.3067030 -0.3188370 -9.9019090 -27.1591340 -8.5565030 17.6633760 967.2230654
1740 2.2227278 -0.3382965 -9.8263160 -27.5344240 -8.4564970 17.6633760 967.2207538
1770 2.2396426 -0.3628455 -9.7201870 -27.2529600 -8.7565000 18.0391540 967.2184423
1800 2.3842420 -0.3239264 -9.8507160 -27.2529600 -8.7565000 17.1936500 967.2161308
1830 2.2439835 -0.2344125 -9.9137340 -27.4405980 -8.8564910 17.6633760 967.2138192
1860 2.2390438 -0.3078349 -9.8366445 -27.3936845 -8.6564940 17.4285130 967.2115077
1890 2.2341042 -0.3812572 -9.7595550 -27.3467710 -8.4564970 17.1936500 967.2091962
1920 2.3300545 -0.4315526 -9.7219830 -27.4405980 -8.8564910 17.2875980 967.2068846
1950 2.2646406 -0.4082011 -9.6504320 -27.3467710 -8.7565000 17.4754800 967.2045731
1980 2.2643414 -0.5444179 -10.0011520 -27.2529600 -9.0565030 17.2875980 967.2022615
2010 2.2670357 -0.4125421 -9.9318470 -27.4405980 -8.7565000 17.1936500 967.1999500
2040 2.2852976 -0.3231779 -9.9046030 -27.2529600 -8.5565030 17.4754800 967.2005576
2070 2.3033352 -0.3016228 -9.9226410 -27.2998655 -8.6565015 17.4754800 967.2011652
2100 2.3213727 -0.2800676 -9.9406790 -27.3467710 -8.7565000 17.4754800 967.2017727
2130 2.3444247 -0.3176395 -9.8341000 -27.2529600 -9.0565030 17.6633760 967.2023803
2160 2.3026617 -0.3200345 -9.9001120 -27.3467710 -8.7565000 17.4754800 967.2029879
2190 2.2064118 -0.4496649 -9.9313970 -27.1591340 -8.2565000 17.5694270 967.2035955
2220 2.3026617 -0.3917354 -9.8686780 -27.2529600 -8.8564910 18.1331180 967.2042030
2250 2.3035599 -0.3281925 -9.8635890 -27.2529600 -8.9564970 17.8982470 967.2048106
2280 2.3044580 -0.2646497 -9.8585000 -27.2529600 -9.0565030 17.6633760 967.2054182
2310 2.1740790 -0.2309697 -9.7540170 -27.4405980 -8.7565000 17.1936500 967.2060258
2340 2.2372477 -0.2134561 -9.7380000 -27.3467710 -8.5565030 18.0391540 967.2066333
2370 2.3346949 -0.4245172 -9.8683790 -27.3467710 -8.7565000 17.4754800 967.2072409
2400 2.3210733 -0.4462221 -9.8330520 -27.1591340 -9.0565030 17.0996860 967.2078485
2430 2.4155269 -0.3814069 -10.0310900 -27.2529600 -8.8564910 16.8178560 967.2084561
2460 2.3601420 -0.3547623 -9.9770530 -27.4405980 -8.8564910 17.6633760 967.2090636
2490 2.4045247 -0.4012406 -9.8979420 -27.3936845 -8.7064970 17.4285130 967.2096712
2520 2.4489074 -0.4477190 -9.8188310 -27.3467710 -8.5565030 17.1936500 967.2102788
2550 2.3343956 -0.5402266 -9.8399380 -27.3467710 -8.5565030 17.1936500 967.2108864
2580 2.3549030 -0.5276527 -9.5727430 -27.5344240 -8.1564940 17.1936500 967.2114939
2610 2.2409900 -0.4986131 -9.8285620 -27.4405980 -8.5565030 17.0057530 967.2121015
2640 2.3366408 -0.5248086 -9.8996640 -27.3467710 -9.0565030 17.4754800 967.2127091
2670 2.3508613 -0.4493655 -9.8699505 -27.3467710 -8.9564970 17.2406165 967.2133167
